PassengerId;Survived;Pclass;Name;Sex;FootSize;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked
1;1;1;Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards);female;34;33;0;0;110152;86.5;B77;S
2;0;3;Garfirth, Mr. John;male;;;0;0;358585;14.5;;S
3;0;3;Nirva, Mr. Iisakki Antino Aijo;male;;41;0;0;SOTON/O2 3101272;7125;;S
4;1;3;Barah, Mr. Hanna Assi;male;;20;0;0;2663;7.2292;;C
5;1;1;Carter, Mrs. William Ernest (Lucile Polk);female;;36;1;2;113760;120;B96 B98;S
6;0;3;Eklund, Mr. Hans Linus;male;;16;0;0;347074;7775;;S
7;1;1;Hogeboom, Mrs. John C (Anna Andrews);female;;51;1;0;13502;77.9583;D11;S
8;0;1;Brewe, Dr. Arthur Jackson;male;;;0;0;112379;39.6;;C
9;0;3;Mangan, Miss. Mary;female;;30.5;0;0;364850;7.75;;Q
10;0;3;Moran, Mr. Daniel J;male;;;1;0;371110;24.15;;Q
11;0;3;Gronnestad, Mr. Daniel Danielsen;male;;32;0;0;8471;8.3625;;S
12;0;3;Lievens, Mr. Rene Aime;male;;24;0;0;345781;9.5;;S
13;0;3;Jensen, Mr. Niels Peder;male;;48;0;0;350047;7.8542;;S
14;0;2;Mack, Mrs. (Mary);female;;57;0;0;S.O./P.P. 3;10.5;E77;S
15;0;3;Elias, Mr. Dibo;male;;;0;0;2674;7225;;C
16;1;2;Hocking, Mrs. Elizabeth (Eliza Needs);female;;54;1;3;29105;23;;S
17;0;3;Myhrman, Mr. Pehr Fabian Oliver Malkolm;male;;18;0;0;347078;7.75;;S
18;0;3;Tobin, Mr. Roger;male;;;0;0;383121;7.75;F38;Q
19;1;3;Emanuel, Miss. Virginia Ethel;female;16;5;0;0;364516;12475;;S
20;0;3;Kilgannon, Mr. Thomas J;male;;;0;0;36865;7.7375;;Q
21;1;1;Robert, Mrs. Edward Scott (Elisabeth Walton McMillan);female;;43;0;1;24160;211.3375;B3;S
22;1;3;Ayoub, Miss. Banoura;female;;13;0;0;2687;7.2292;;C
