ID,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
1,0.00632,18.0,2.31,0,5.379999999999999,65.75,65.2,4.09,1,29.6,15.3,39.69,4.98,24.0
2,0.02731,0.0,7.07,0,4.6899999999999995,64.21000000000001,78.9,4.9671,2,24.2,17.8,39.69,9.14,21.6
4,0.032369999999999996,0.0,2.18,0,4.58,69.97999999999999,45.8,6.0622,3,22.2,18.7,39.463,2.94,33.4
5,0.06905,0.0,2.18,0,4.58,71.47,54.2,6.0622,3,22.2,18.7,39.69,5.33,36.2
7,0.08829,12.5,7.87,0,5.24,60.120000000000005,66.6,5.5605,5,31.1,15.2,39.56,12.43,22.9
11,0.22489,12.5,7.87,0,5.24,63.77000000000001,94.3,6.3467,5,31.1,15.2,39.251999999999995,20.45,15.0
12,0.11747,12.5,7.87,0,5.24,60.089999999999996,82.9,6.2267,5,31.1,15.2,39.69,13.27,18.9
13,0.09378,12.5,7.87,0,5.24,58.88999999999999,39.0,5.4509,5,31.1,15.2,39.05,15.71,21.7
14,0.62976,0.0,8.14,0,5.379999999999999,59.489999999999995,61.8,4.7075,4,30.7,21.0,39.69,8.26,20.4
15,0.6379600000000001,0.0,8.14,0,5.379999999999999,60.96,84.5,4.4619,4,30.7,21.0,38.001999999999995,10.26,18.2
16,0.62739,0.0,8.14,0,5.379999999999999,58.339999999999996,56.5,4.4986,4,30.7,21.0,39.562,8.47,19.9
17,1.05393,0.0,8.14,0,5.379999999999999,59.349999999999994,29.3,4.4986,4,30.7,21.0,38.685,6.58,23.1
19,0.80271,0.0,8.14,0,5.379999999999999,54.56,36.6,3.7965,4,30.7,21.0,28.899,11.69,20.2
21,1.25179,0.0,8.14,0,5.379999999999999,55.7,98.1,3.7979,4,30.7,21.0,37.657,21.02,13.6
22,0.8520399999999999,0.0,8.14,0,5.379999999999999,59.65,89.2,4.0123,4,30.7,21.0,39.253,13.83,19.6
23,1.2324700000000002,0.0,8.14,0,5.379999999999999,61.42,91.7,3.9769,4,30.7,21.0,39.69,18.72,15.2
24,0.9884299999999999,0.0,8.14,0,5.379999999999999,58.129999999999995,100.0,4.0952,4,30.7,21.0,39.454,19.88,14.5
28,0.9557700000000001,0.0,8.14,0,5.379999999999999,60.470000000000006,88.8,4.4534,4,30.7,21.0,30.637999999999998,17.28,14.8
31,1.13081,0.0,8.14,0,5.379999999999999,57.129999999999995,94.1,4.2330000000000005,4,30.7,21.0,36.017,22.6,12.7
32,1.3547200000000001,0.0,8.14,0,5.379999999999999,60.72,100.0,4.175,4,30.7,21.0,37.673,13.04,14.5
35,1.6128200000000001,0.0,8.14,0,5.379999999999999,60.96,96.9,3.7598,4,30.7,21.0,24.831,20.34,13.5
39,0.17505,0.0,5.96,0,4.99,59.660000000000004,30.2,3.8473,5,27.9,19.2,39.343,10.13,24.7
40,0.027630000000000002,75.0,2.95,0,4.28,65.95,21.8,5.4011,3,25.2,18.3,39.563,4.32,30.8
41,0.033589999999999995,75.0,2.95,0,4.28,70.24,15.8,5.4011,3,25.2,18.3,39.562,1.98,34.9
43,0.1415,0.0,6.91,0,4.4799999999999995,61.69,6.6,5.7209,3,23.3,17.9,38.337,5.81,25.3
44,0.15936,0.0,6.91,0,4.4799999999999995,62.11,6.5,5.7209,3,23.3,17.9,39.446,7.44,24.7
45,0.12269000000000001,0.0,6.91,0,4.4799999999999995,60.69,40.0,5.7209,3,23.3,17.9,38.939,9.55,21.2
46,0.17142000000000002,0.0,6.91,0,4.4799999999999995,56.82000000000001,33.8,5.1004,3,23.3,17.9,39.69,10.21,19.3
47,0.18836,0.0,6.91,0,4.4799999999999995,57.86000000000001,33.3,5.1004,3,23.3,17.9,39.69,14.15,20.0
48,0.22926999999999997,0.0,6.91,0,4.4799999999999995,60.300000000000004,85.5,5.6894,3,23.3,17.9,39.274,18.8,16.6
